 gamma	phi_min	H_ext
  0.78539818525314331       -3.6965649179999964       0.91999983787536621     
  0.78539818525314331       -3.7638552698053322       0.96000003814697266     
  0.78539818525314331       -3.9244170195124468        1.0000000000000000     
  0.78539818525314331       -1400.8809145876826        1.0399999618530273     
  0.78539818525314331       -1400.8734676437823        1.0799999237060547     
  0.78539818525314331       -1400.8661830751380        1.1199998855590820     
  0.78539818525314331       -1400.8590571630571        1.1599998474121094     
  0.78539818525314331       -1400.8520846467989        1.1999998092651367     
  0.78539818525314331       -1400.8452621635797        1.2400000095367432     
  0.78539818525314331       -1400.8385865625983        1.2799999713897705     
  0.78539818525314331       -1400.8320528848510        1.3199999332427979     
  0.78539818525314331       -1400.8256581594858        1.3599998950958252     
  0.78539818525314331       -1400.8193988876944        1.3999998569488525     
  0.78539818525314331       -1400.8132722405494        1.4399998188018799     
  0.78539818525314331       -1400.8072737201167        1.4800000190734863     
  0.78539818525314331       -1400.8014007787394        1.5199999809265137     
  0.78539818525314331       -1400.7956508451603        1.5599999427795410     
  0.78539818525314331       -1400.7900196935316        1.5999999046325684     
  0.78539818525314331       -1400.7845049716859        1.6399998664855957     
  0.78539818525314331       -1400.7791038129230        1.6799998283386230     
  0.78539818525314331       -1400.7738139386358        1.7200000286102295     
  0.78539818525314331       -1400.7686315386893        1.7599999904632568     
  0.78539818525314331       -1400.7635545117951        1.7999999523162842     
  0.78539818525314331       -1400.7585802847500        1.8399999141693115     
  0.78539818525314331       -1400.7537068765555        1.8799998760223389     
  0.78539818525314331       -1400.7489307169137        1.9199998378753662     
  0.78539818525314331       -1400.7442499936512        1.9599997997283936     
  0.78539818525314331       -1400.7396623577722        2.0000000000000000     
  0.78539818525314331       -1400.7442445102913        1.9600000381469727     
  0.78539818525314331       -1400.7489249183361        1.9199999570846558     
  0.78539818525314331       -1400.7537007348644        1.8799999952316284     
  0.78539818525314331       -1400.7585749195259        1.8400000333786011     
  0.78539818525314331       -1400.7635488417934        1.7999999523162842     
  0.78539818525314331       -1400.7686255190481        1.7599999904632568     
  0.78539818525314331       -1400.7738075586458        1.7200000286102295     
  0.78539818525314331       -1400.7790981897570        1.6800000667572021     
  0.78539818525314331       -1400.7844990242675        1.6399999856948853     
  0.78539818525314331       -1400.7900133774870        1.6000000238418579     
  0.78539818525314331       -1400.7956441601625        1.5599999427795410     
  0.78539818525314331       -1400.8013948932651        1.5199999809265137     
  0.78539818525314331       -1400.8072674679872        1.4800000190734863     
